Date,Year,Month,Geopolitical_Zone,State,Avg_Humidity_Percent,Min_Humidity_Percent,Max_Humidity_Percent
1998-01-01,1998,1,North-West,Kaduna,48.0,34.7,65.4
1998-02-01,1998,2,North-West,Kaduna,38.6,19.7,50.4
1998-03-01,1998,3,North-West,Kaduna,30.8,14.1,44.7
1998-04-01,1998,4,North-West,Kaduna,69.2,56.2,87.3
1998-05-01,1998,5,North-West,Kaduna,84.0,72.7,95.1
1998-06-01,1998,6,North-West,Kaduna,86.2,74.1,102.9
1998-07-01,1998,7,North-West,Kaduna,87.5,68.0,105.8
1998-08-01,1998,8,North-West,Kaduna,89.3,77.2,103.3
1998-09-01,1998,9,North-West,Kaduna,87.3,74.7,98.9
1998-10-01,1998,10,North-West,Kaduna,79.5,61.7,90.3
1998-11-01,1998,11,North-West,Kaduna,66.0,47.2,82.6
1998-12-01,1998,12,North-West,Kaduna,60.4,44.4,74.7
1999-01-01,1999,1,North-West,Kaduna,51.9,34.5,70.8
1999-02-01,1999,2,North-West,Kaduna,49.2,34.6,60.6
1999-03-01,1999,3,North-West,Kaduna,46.4,28.9,64.5
1999-04-01,1999,4,North-West,Kaduna,53.6,41.3,66.4
1999-05-01,1999,5,North-West,Kaduna,64.9,45.0,75.1
1999-06-01,1999,6,North-West,Kaduna,75.4,64.2,87.9
1999-07-01,1999,7,North-West,Kaduna,84.3,71.3,102.0
1999-08-01,1999,8,North-West,Kaduna,86.7,67.0,97.6
1999-09-01,1999,9,North-West,Kaduna,81.1,62.2,91.4
1999-10-01,1999,10,North-West,Kaduna,72.5,60.9,90.4
1999-11-01,1999,11,North-West,Kaduna,41.3,24.9,56.6
1999-12-01,1999,12,North-West,Kaduna,27.8,12.1,43.1
2000-01-01,2000,1,North-West,Kaduna,25.4,8.2,43.5
2000-02-01,2000,2,North-West,Kaduna,20.7,4.0,37.8
2000-03-01,2000,3,North-West,Kaduna,20.8,5.3,38.5
2000-04-01,2000,4,North-West,Kaduna,44.6,32.8,62.8
2000-05-01,2000,5,North-West,Kaduna,60.1,48.9,76.1
2000-06-01,2000,6,North-West,Kaduna,85.8,67.9,101.2
2000-07-01,2000,7,North-West,Kaduna,87.6,77.6,106.0
2000-08-01,2000,8,North-West,Kaduna,86.7,68.4,98.2
2000-09-01,2000,9,North-West,Kaduna,85.9,71.4,104.3
2000-10-01,2000,10,North-West,Kaduna,78.4,65.0,88.8
2000-11-01,2000,11,North-West,Kaduna,61.0,47.0,76.8
2000-12-01,2000,12,North-West,Kaduna,57.2,41.0,73.2
2001-01-01,2001,1,North-West,Kaduna,45.6,26.7,63.4
2001-02-01,2001,2,North-West,Kaduna,39.5,25.0,49.7
2001-03-01,2001,3,North-West,Kaduna,40.9,23.7,52.3
2001-04-01,2001,4,North-West,Kaduna,68.0,54.7,86.5
2001-05-01,2001,5,North-West,Kaduna,80.1,69.7,97.2
2001-06-01,2001,6,North-West,Kaduna,84.4,64.9,103.0
2001-07-01,2001,7,North-West,Kaduna,86.2,72.2,98.1
2001-08-01,2001,8,North-West,Kaduna,87.2,75.4,97.3
2001-09-01,2001,9,North-West,Kaduna,84.7,66.2,98.4
2001-10-01,2001,10,North-West,Kaduna,73.4,54.4,88.9
2001-11-01,2001,11,North-West,Kaduna,61.2,47.5,72.4
2001-12-01,2001,12,North-West,Kaduna,50.9,37.4,68.5
2002-01-01,2002,1,North-West,Kaduna,37.6,21.2,51.5
2002-02-01,2002,2,North-West,Kaduna,31.0,20.6,45.8
2002-03-01,2002,3,North-West,Kaduna,41.7,29.6,56.3
2002-04-01,2002,4,North-West,Kaduna,69.5,55.2,86.5
2002-05-01,2002,5,North-West,Kaduna,78.0,58.4,92.0
2002-06-01,2002,6,North-West,Kaduna,85.5,69.2,99.3
2002-07-01,2002,7,North-West,Kaduna,85.8,66.6,96.3
2002-08-01,2002,8,North-West,Kaduna,86.1,69.0,103.7
2002-09-01,2002,9,North-West,Kaduna,86.0,69.2,100.5
2002-10-01,2002,10,North-West,Kaduna,77.6,61.0,89.0
2002-11-01,2002,11,North-West,Kaduna,62.7,43.8,80.3
2002-12-01,2002,12,North-West,Kaduna,53.0,40.1,72.8
2003-01-01,2003,1,North-West,Kaduna,44.3,33.5,60.1
2003-02-01,2003,2,North-West,Kaduna,40.3,23.2,57.7
2003-03-01,2003,3,North-West,Kaduna,32.7,22.2,42.8
2003-04-01,2003,4,North-West,Kaduna,68.6,55.3,80.1
2003-05-01,2003,5,North-West,Kaduna,68.1,49.7,78.3
2003-06-01,2003,6,North-West,Kaduna,81.1,65.8,99.2
2003-07-01,2003,7,North-West,Kaduna,85.4,72.7,99.4
2003-08-01,2003,8,North-West,Kaduna,86.9,73.2,105.5
2003-09-01,2003,9,North-West,Kaduna,84.2,72.7,98.2
2003-10-01,2003,10,North-West,Kaduna,78.0,64.4,88.3
2003-11-01,2003,11,North-West,Kaduna,63.2,46.3,78.8
2003-12-01,2003,12,North-West,Kaduna,48.3,28.6,60.3
2004-01-01,2004,1,North-West,Kaduna,38.7,22.0,49.6
2004-02-01,2004,2,North-West,Kaduna,24.3,12.7,40.2
2004-03-01,2004,3,North-West,Kaduna,24.9,13.3,41.1
2004-04-01,2004,4,North-West,Kaduna,61.1,42.4,77.8
2004-05-01,2004,5,North-West,Kaduna,84.2,68.3,94.6
2004-06-01,2004,6,North-West,Kaduna,82.1,64.5,100.6
2004-07-01,2004,7,North-West,Kaduna,80.2,66.5,90.8
2004-08-01,2004,8,North-West,Kaduna,83.9,70.4,96.1
2004-09-01,2004,9,North-West,Kaduna,79.9,60.4,97.4
2004-10-01,2004,10,North-West,Kaduna,66.0,47.5,81.4
2004-11-01,2004,11,North-West,Kaduna,38.9,25.9,49.0
2004-12-01,2004,12,North-West,Kaduna,22.9,6.3,35.0
2005-01-01,2005,1,North-West,Kaduna,22.8,4.6,36.9
2005-02-01,2005,2,North-West,Kaduna,26.8,11.1,37.6
2005-03-01,2005,3,North-West,Kaduna,28.0,9.5,46.2
2005-04-01,2005,4,North-West,Kaduna,46.4,30.1,64.1
2005-05-01,2005,5,North-West,Kaduna,60.0,47.1,72.1
2005-06-01,2005,6,North-West,Kaduna,76.2,66.2,90.3
2005-07-01,2005,7,North-West,Kaduna,80.4,62.0,92.1
2005-08-01,2005,8,North-West,Kaduna,81.7,63.7,94.8
2005-09-01,2005,9,North-West,Kaduna,82.1,69.0,94.0
2005-10-01,2005,10,North-West,Kaduna,71.5,56.8,87.2
2005-11-01,2005,11,North-West,Kaduna,41.0,26.1,60.2
2005-12-01,2005,12,North-West,Kaduna,32.9,17.2,51.7
2006-01-01,2006,1,North-West,Kaduna,27.7,9.4,38.9
2006-02-01,2006,2,North-West,Kaduna,29.7,13.7,40.4
2006-03-01,2006,3,North-West,Kaduna,25.9,8.7,41.9
2006-04-01,2006,4,North-West,Kaduna,32.5,20.4,50.9
2006-05-01,2006,5,North-West,Kaduna,68.1,55.2,80.6
2006-06-01,2006,6,North-West,Kaduna,69.3,50.7,82.2
2006-07-01,2006,7,North-West,Kaduna,73.5,59.9,92.6
2006-08-01,2006,8,North-West,Kaduna,84.8,68.9,100.2
2006-09-01,2006,9,North-West,Kaduna,83.9,73.4,97.6
2006-10-01,2006,10,North-West,Kaduna,75.1,56.9,85.2
2006-11-01,2006,11,North-West,Kaduna,42.5,24.6,58.8
2006-12-01,2006,12,North-West,Kaduna,30.6,17.5,41.5
2007-01-01,2007,1,North-West,Kaduna,24.1,9.7,35.5
2007-02-01,2007,2,North-West,Kaduna,20.3,2.6,30.3
2007-03-01,2007,3,North-West,Kaduna,23.9,7.5,40.9
2007-04-01,2007,4,North-West,Kaduna,58.4,39.8,76.7
2007-05-01,2007,5,North-West,Kaduna,73.6,58.1,89.9
2007-06-01,2007,6,North-West,Kaduna,83.9,64.4,94.5
2007-07-01,2007,7,North-West,Kaduna,87.5,75.3,105.9
2007-08-01,2007,8,North-West,Kaduna,88.5,71.4,99.9
2007-09-01,2007,9,North-West,Kaduna,84.6,66.5,102.3
2007-10-01,2007,10,North-West,Kaduna,77.9,57.9,97.3
2007-11-01,2007,11,North-West,Kaduna,64.8,47.9,79.7
2007-12-01,2007,12,North-West,Kaduna,53.7,42.7,64.6
2008-01-01,2008,1,North-West,Kaduna,46.5,32.2,57.6
2008-02-01,2008,2,North-West,Kaduna,30.3,13.1,43.4
2008-03-01,2008,3,North-West,Kaduna,41.8,29.6,60.9
2008-04-01,2008,4,North-West,Kaduna,48.0,29.1,61.1
2008-05-01,2008,5,North-West,Kaduna,63.9,53.8,77.0
2008-06-01,2008,6,North-West,Kaduna,75.6,60.1,92.8
2008-07-01,2008,7,North-West,Kaduna,84.0,66.2,99.5
2008-08-01,2008,8,North-West,Kaduna,86.9,68.6,100.1
2008-09-01,2008,9,North-West,Kaduna,85.3,74.9,96.7
2008-10-01,2008,10,North-West,Kaduna,74.6,63.0,84.6
2008-11-01,2008,11,North-West,Kaduna,57.8,44.0,70.5
2008-12-01,2008,12,North-West,Kaduna,50.2,31.3,61.4
2009-01-01,2009,1,North-West,Kaduna,41.2,27.8,58.3
2009-02-01,2009,2,North-West,Kaduna,29.3,9.6,42.1
2009-03-01,2009,3,North-West,Kaduna,27.5,11.4,40.3
2009-04-01,2009,4,North-West,Kaduna,65.1,45.4,75.5
2009-05-01,2009,5,North-West,Kaduna,72.2,61.5,83.4
2009-06-01,2009,6,North-West,Kaduna,78.0,60.5,94.3
2009-07-01,2009,7,North-West,Kaduna,82.8,68.5,97.5
2009-08-01,2009,8,North-West,Kaduna,85.5,67.9,99.9
2009-09-01,2009,9,North-West,Kaduna,83.7,64.4,96.3
2009-10-01,2009,10,North-West,Kaduna,79.5,69.3,98.6
2009-11-01,2009,11,North-West,Kaduna,52.3,37.5,66.3
2009-12-01,2009,12,North-West,Kaduna,31.8,17.3,44.9
2010-01-01,2010,1,North-West,Kaduna,27.8,17.3,45.6
2010-02-01,2010,2,North-West,Kaduna,25.7,11.1,36.6
2010-03-01,2010,3,North-West,Kaduna,29.0,14.0,48.4
2010-04-01,2010,4,North-West,Kaduna,50.4,31.9,66.9
2010-05-01,2010,5,North-West,Kaduna,73.2,59.6,83.7
2010-06-01,2010,6,North-West,Kaduna,80.2,63.9,91.1
2010-07-01,2010,7,North-West,Kaduna,87.0,69.1,100.8
2010-08-01,2010,8,North-West,Kaduna,88.8,78.5,106.1
2010-09-01,2010,9,North-West,Kaduna,86.7,71.5,103.4
2010-10-01,2010,10,North-West,Kaduna,83.5,68.9,95.5
2010-11-01,2010,11,North-West,Kaduna,65.7,53.2,83.1
2010-12-01,2010,12,North-West,Kaduna,48.5,29.3,62.2
2011-01-01,2011,1,North-West,Kaduna,37.2,19.0,52.8
2011-02-01,2011,2,North-West,Kaduna,41.5,22.1,55.4
2011-03-01,2011,3,North-West,Kaduna,28.2,17.9,42.5
2011-04-01,2011,4,North-West,Kaduna,43.1,23.8,53.3
2011-05-01,2011,5,North-West,Kaduna,72.3,56.9,83.5
2011-06-01,2011,6,North-West,Kaduna,77.4,66.1,97.0
2011-07-01,2011,7,North-West,Kaduna,80.5,67.0,94.8
2011-08-01,2011,8,North-West,Kaduna,85.4,74.1,100.2
2011-09-01,2011,9,North-West,Kaduna,83.7,71.5,96.9
2011-10-01,2011,10,North-West,Kaduna,76.1,58.4,89.1
2011-11-01,2011,11,North-West,Kaduna,49.7,31.9,62.5
2011-12-01,2011,12,North-West,Kaduna,37.3,22.6,48.2
2012-01-01,2012,1,North-West,Kaduna,32.3,20.9,47.0
2012-02-01,2012,2,North-West,Kaduna,27.3,8.8,44.5
2012-03-01,2012,3,North-West,Kaduna,19.8,2.3,38.9
2012-04-01,2012,4,North-West,Kaduna,61.5,44.8,78.4
2012-05-01,2012,5,North-West,Kaduna,77.1,66.0,94.1
2012-06-01,2012,6,North-West,Kaduna,84.3,73.5,96.6
2012-07-01,2012,7,North-West,Kaduna,86.4,71.0,99.4
2012-08-01,2012,8,North-West,Kaduna,87.7,68.4,103.4
2012-09-01,2012,9,North-West,Kaduna,86.8,67.8,106.2
2012-10-01,2012,10,North-West,Kaduna,79.8,60.0,95.1
2012-11-01,2012,11,North-West,Kaduna,65.9,52.2,81.6
2012-12-01,2012,12,North-West,Kaduna,55.6,41.1,66.6
2013-01-01,2013,1,North-West,Kaduna,54.0,42.3,64.8
2013-02-01,2013,2,North-West,Kaduna,44.7,26.2,58.6
2013-03-01,2013,3,North-West,Kaduna,54.4,43.1,70.7
2013-04-01,2013,4,North-West,Kaduna,59.0,47.2,73.2
2013-05-01,2013,5,North-West,Kaduna,70.2,56.3,82.2
2013-06-01,2013,6,North-West,Kaduna,76.7,66.6,93.7
2013-07-01,2013,7,North-West,Kaduna,81.3,66.9,99.6
2013-08-01,2013,8,North-West,Kaduna,85.8,72.7,105.6
2013-09-01,2013,9,North-West,Kaduna,81.9,62.1,93.1
2013-10-01,2013,10,North-West,Kaduna,65.1,53.5,80.2
2013-11-01,2013,11,North-West,Kaduna,39.6,26.1,49.8
2013-12-01,2013,12,North-West,Kaduna,31.9,19.4,42.7
2014-01-01,2014,1,North-West,Kaduna,23.6,9.5,41.6
2014-02-01,2014,2,North-West,Kaduna,18.9,4.2,38.4
2014-03-01,2014,3,North-West,Kaduna,36.1,18.2,54.7
2014-04-01,2014,4,North-West,Kaduna,58.4,43.7,74.7
2014-05-01,2014,5,North-West,Kaduna,70.5,52.0,85.9
2014-06-01,2014,6,North-West,Kaduna,77.8,67.2,96.5
2014-07-01,2014,7,North-West,Kaduna,83.5,69.3,99.4
2014-08-01,2014,8,North-West,Kaduna,87.1,73.2,101.5
2014-09-01,2014,9,North-West,Kaduna,84.0,69.4,103.7
2014-10-01,2014,10,North-West,Kaduna,75.6,55.8,93.1
2014-11-01,2014,11,North-West,Kaduna,55.6,45.1,73.1
2014-12-01,2014,12,North-West,Kaduna,38.4,27.3,56.5
2015-01-01,2015,1,North-West,Kaduna,29.1,18.4,43.4
2015-02-01,2015,2,North-West,Kaduna,28.3,17.6,48.2
2015-03-01,2015,3,North-West,Kaduna,32.8,21.9,47.0
2015-04-01,2015,4,North-West,Kaduna,25.2,10.1,35.6
2015-05-01,2015,5,North-West,Kaduna,56.2,41.1,73.5
2015-06-01,2015,6,North-West,Kaduna,75.7,61.5,92.6
2015-07-01,2015,7,North-West,Kaduna,85.0,67.6,98.2
2015-08-01,2015,8,North-West,Kaduna,87.5,74.4,104.4
2015-09-01,2015,9,North-West,Kaduna,85.6,73.2,97.5
2015-10-01,2015,10,North-West,Kaduna,79.4,62.7,96.6
2015-11-01,2015,11,North-West,Kaduna,62.1,50.3,72.3
2015-12-01,2015,12,North-West,Kaduna,50.9,33.0,69.1
2016-01-01,2016,1,North-West,Kaduna,37.7,23.4,55.4
2016-02-01,2016,2,North-West,Kaduna,29.9,14.1,42.4
2016-03-01,2016,3,North-West,Kaduna,46.7,30.7,57.8
2016-04-01,2016,4,North-West,Kaduna,67.1,48.1,78.1
2016-05-01,2016,5,North-West,Kaduna,76.6,63.1,93.0
2016-06-01,2016,6,North-West,Kaduna,81.8,65.9,100.7
2016-07-01,2016,7,North-West,Kaduna,86.7,74.6,104.7
2016-08-01,2016,8,North-West,Kaduna,87.1,67.7,101.4
2016-09-01,2016,9,North-West,Kaduna,86.3,67.6,98.0
2016-10-01,2016,10,North-West,Kaduna,76.7,60.2,91.3
2016-11-01,2016,11,North-West,Kaduna,62.0,45.3,77.5
2016-12-01,2016,12,North-West,Kaduna,52.2,35.1,65.8
2017-01-01,2017,1,North-West,Kaduna,45.1,34.4,57.8
2017-02-01,2017,2,North-West,Kaduna,24.6,12.1,38.4
2017-03-01,2017,3,North-West,Kaduna,28.7,18.2,39.0
2017-04-01,2017,4,North-West,Kaduna,50.5,34.7,67.5
2017-05-01,2017,5,North-West,Kaduna,78.4,60.9,89.5
2017-06-01,2017,6,North-West,Kaduna,83.0,71.9,99.7
2017-07-01,2017,7,North-West,Kaduna,87.2,70.2,105.0
2017-08-01,2017,8,North-West,Kaduna,88.8,75.0,101.5
2017-09-01,2017,9,North-West,Kaduna,85.7,66.0,100.5
2017-10-01,2017,10,North-West,Kaduna,71.8,57.6,89.7
2017-11-01,2017,11,North-West,Kaduna,56.8,44.9,72.2
2017-12-01,2017,12,North-West,Kaduna,52.5,38.9,65.8
2018-01-01,2018,1,North-West,Kaduna,33.0,13.6,44.2
2018-02-01,2018,2,North-West,Kaduna,39.4,23.9,59.1
2018-03-01,2018,3,North-West,Kaduna,38.1,22.1,48.3
2018-04-01,2018,4,North-West,Kaduna,54.8,35.7,65.2
2018-05-01,2018,5,North-West,Kaduna,79.2,65.3,97.5
2018-06-01,2018,6,North-West,Kaduna,82.4,70.3,99.9
2018-07-01,2018,7,North-West,Kaduna,85.5,75.3,104.4
2018-08-01,2018,8,North-West,Kaduna,87.4,73.4,105.7
2018-09-01,2018,9,North-West,Kaduna,85.7,75.3,103.6
2018-10-01,2018,10,North-West,Kaduna,81.8,69.4,91.9
2018-11-01,2018,11,North-West,Kaduna,57.7,40.1,71.3
2018-12-01,2018,12,North-West,Kaduna,47.2,33.8,58.0
2019-01-01,2019,1,North-West,Kaduna,36.3,16.3,50.9
2019-02-01,2019,2,North-West,Kaduna,34.0,19.5,53.1
2019-03-01,2019,3,North-West,Kaduna,36.3,24.7,55.1
2019-04-01,2019,4,North-West,Kaduna,47.0,29.7,57.9
2019-05-01,2019,5,North-West,Kaduna,73.2,57.4,86.5
2019-06-01,2019,6,North-West,Kaduna,76.9,62.2,92.9
2019-07-01,2019,7,North-West,Kaduna,82.9,71.6,98.9
2019-08-01,2019,8,North-West,Kaduna,87.9,76.2,103.1
2019-09-01,2019,9,North-West,Kaduna,84.4,73.4,103.7
2019-10-01,2019,10,North-West,Kaduna,85.8,73.7,100.4
2019-11-01,2019,11,North-West,Kaduna,68.0,55.3,81.6
2019-12-01,2019,12,North-West,Kaduna,51.4,36.9,64.8
2020-01-01,2020,1,North-West,Kaduna,42.2,27.4,61.7
2020-02-01,2020,2,North-West,Kaduna,31.4,11.8,45.6
2020-03-01,2020,3,North-West,Kaduna,45.5,33.4,60.3
2020-04-01,2020,4,North-West,Kaduna,79.5,65.0,98.5
2020-05-01,2020,5,North-West,Kaduna,84.8,65.2,101.4
2020-06-01,2020,6,North-West,Kaduna,88.1,74.8,101.1
2020-07-01,2020,7,North-West,Kaduna,90.2,72.9,109.6
2020-08-01,2020,8,North-West,Kaduna,91.1,75.7,107.2
2020-09-01,2020,9,North-West,Kaduna,87.5,75.2,98.5
2020-10-01,2020,10,North-West,Kaduna,78.2,65.0,97.6
2020-11-01,2020,11,North-West,Kaduna,70.7,51.5,81.9
2020-12-01,2020,12,North-West,Kaduna,60.4,41.6,70.9
2021-01-01,2021,1,North-West,Kaduna,46.3,26.6,62.0
2021-02-01,2021,2,North-West,Kaduna,34.2,18.1,49.7
2021-03-01,2021,3,North-West,Kaduna,52.7,37.9,66.3
2021-04-01,2021,4,North-West,Kaduna,58.9,48.2,75.4
2021-05-01,2021,5,North-West,Kaduna,75.0,55.9,94.6
2021-06-01,2021,6,North-West,Kaduna,87.1,74.3,99.1
2021-07-01,2021,7,North-West,Kaduna,91.2,71.8,109.1
2021-08-01,2021,8,North-West,Kaduna,90.2,75.3,106.3
2021-09-01,2021,9,North-West,Kaduna,87.2,69.6,99.2
2021-10-01,2021,10,North-West,Kaduna,80.6,67.0,98.3
2021-11-01,2021,11,North-West,Kaduna,69.6,57.6,83.1
2021-12-01,2021,12,North-West,Kaduna,66.2,54.9,78.8
2022-01-01,2022,1,North-West,Kaduna,59.0,42.2,77.0
2022-02-01,2022,2,North-West,Kaduna,45.0,26.9,58.1
2022-03-01,2022,3,North-West,Kaduna,50.3,38.8,68.8
2022-04-01,2022,4,North-West,Kaduna,80.1,66.2,95.7
2022-05-01,2022,5,North-West,Kaduna,85.7,75.1,97.3
2022-06-01,2022,6,North-West,Kaduna,88.4,77.1,99.7
2022-07-01,2022,7,North-West,Kaduna,88.9,72.5,106.9
2022-08-01,2022,8,North-West,Kaduna,89.4,69.7,101.4
2022-09-01,2022,9,North-West,Kaduna,87.7,74.8,101.3
2022-10-01,2022,10,North-West,Kaduna,79.8,68.9,95.8
2022-11-01,2022,11,North-West,Kaduna,65.2,47.5,79.1
2022-12-01,2022,12,North-West,Kaduna,55.2,37.9,67.1
2023-01-01,2023,1,North-West,Kaduna,48.1,28.9,61.6
2023-02-01,2023,2,North-West,Kaduna,31.6,13.9,46.1
2023-03-01,2023,3,North-West,Kaduna,55.2,42.5,69.7
2023-04-01,2023,4,North-West,Kaduna,69.5,51.8,85.7
2023-05-01,2023,5,North-West,Kaduna,83.2,70.2,96.5
2023-06-01,2023,6,North-West,Kaduna,86.9,72.2,103.2
2023-07-01,2023,7,North-West,Kaduna,85.2,74.1,101.3
2023-08-01,2023,8,North-West,Kaduna,86.8,74.0,103.3
2023-09-01,2023,9,North-West,Kaduna,84.9,69.3,103.7
2023-10-01,2023,10,North-West,Kaduna,72.5,53.9,82.9
2023-11-01,2023,11,North-West,Kaduna,63.0,46.6,79.4
2023-12-01,2023,12,North-West,Kaduna,45.0,26.8,60.8
